shirt_id,name,order_date,review,rating
101,Denim blue,1/1/2024,Good product,4
102,Formal white,1/2/2024,Fabric is good and at low price,5
101,Hunter jeans,1/2/2024,"Size is not as expected and color is bad,faded after wash",1
104,Black loafers,1/2/2024,Sole width is less and threads coming out,3
105,Roadster causal shirt,1/15/2024,Fitting is good and nice one from Roadster,4
106,Black shirt office,1/13/2024,"Best for formal wear,slight wrinkles after washing",4
107,Printed beige shirt,1/14/2024,So cool and stylish for party and good for summer,5
108,Cotton blend blue navy,1/2/2024,Regular looks but price is higher,2
109,Hunter white whales,1/9/2024,Irritating fabric for skin and shirt is not as shown ,1
110,Black denim shirt,1/10/2024,Size and fitting was good..love it,4
111,Slim fit indian garage,1/11/2024,Super comfortable with size..fits perfectly,5
112,Highlander regualr wear ,1/11/2024,Must buy product from highlander,5
113,Printed design shirt,1/24/2024,Design is erasing after rough usage and washes,3
114,Denim blue,1/24/2024,Color gradient is good,4
105,Navy men jeans,1/15/2024,Perfect fitting with comfortable feel,5
116,Beardo wax,1/21/2024,Styling was easy and fragnance was long lasting,4
117,Mendango perfume,1/17/2024,Pleasant scent but lasts few minutes only..not worthy for price,2
118,White sneakers,1/21/2024,Stylish shoes and good to go product at reasonable price,4
119,Metallic twill watch,1/28/2024,Matches like a dream..nice one to buy,5
120,Regular fit men brown twills,1/11/2024,Stitching was not good..color is okay but should consider fabric quality not satisfied,1
107,White printed tiger design,1/14/2024,Not satisfied with size,2
107,White shirt,2/11/2024,OKay,3
